DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
2006-01-31,786.82275,836539.0,4.28516129032258,1280.0799560546875
2006-02-28,785.3779999999999,833804.0,4.491428571428572,1280.6600341796875
2006-03-31,788.9156,838655.6,4.589354838709676,1294.8699951171875
2006-04-30,790.5435,838093.75,4.790333333333334,0.0
2006-05-31,794.3057999999999,842451.2,4.940322580645163,1270.0899658203125
2006-06-30,794.29725,846038.0,4.9910000000000005,1270.199951171875
2006-07-31,795.91825,846874.0,5.235161290322582,1276.6600341796875
2006-08-31,793.6006,844411.4,5.2464516129032255,1303.8199462890625
2006-09-30,794.46925,844410.75,5.254666666666668,0.0
2006-10-31,794.13925,849620.75,5.245161290322579,1377.93994140625
2006-11-30,800.542,858302.8,5.245666666666668,1400.6300048828125
2006-12-31,809.32575,862756.75,5.23806451612903,0.0
2007-01-31,808.8480000000001,861258.6,5.248387096774192,1438.239990234375
2007-02-28,805.36375,867225.0,5.258928571428571,1406.8199462890625
2007-03-31,806.3402500000001,868370.75,5.256774193548388,0.0
2007-04-30,807.55675,867195.25,5.249666666666668,1482.3699951171875
2007-05-31,809.5004000000001,875321.4,5.253548387096773,1530.6199951171875
2007-06-30,811.0792499999999,867222.25,5.254,0.0
2007-07-31,814.6492499999999,870706.0,5.258387096774193,1455.27001953125
2007-08-31,811.7318,867258.6,5.022258064516129,1473.989990234375
2007-09-30,811.8987500000001,878775.5,4.9380000000000015,0.0
2007-10-31,813.6582000000001,877940.6,4.7554838709677405,1549.3800048828125
2007-11-30,819.85725,886426.5,4.486666666666668,1481.1400146484375
2007-12-31,820.2937499999999,885789.75,4.2445161290322595,1468.3599853515625
2008-01-31,817.3666000000001,894807.8,3.940322580645162,1378.550048828125
2008-02-29,814.429,881700.25,2.980689655172414,1330.6300048828125
2008-03-31,816.6445000000001,890096.0,2.6103225806451613,1322.699951171875
2008-04-30,813.937,886510.6,2.2783333333333338,1385.5899658203125
2008-05-31,817.68625,892986.0,1.9783870967741932,0.0
2008-06-30,822.827,895391.5,2.001,1280.0
2008-07-31,829.9464,905993.4,2.009677419354839,1267.3800048828125
2008-08-31,830.5135,906233.75,1.996451612903225,0.0
2008-09-30,833.9425,1009474.0,1.811666666666666,1166.3599853515625
2008-10-31,849.1222000000001,1727614.6,0.9693548387096774,968.75
2008-11-30,864.0745000000001,2145077.75,0.38766666666666655,0.0
2008-12-31,877.8833999999999,2222737.4,0.1551612903225806,903.25
2009-01-31,886.1840000000001,2033836.75,0.15419354838709684,0.0
2009-02-28,894.1555,1881628.5,0.2221428571428572,0.0
2009-03-31,900.752,1984832.25,0.18064516129032263,797.8699951171875
2009-04-30,903.4116,2123506.2,0.15033333333333332,872.8099975585938
2009-05-31,905.5145,2134464.0,0.17741935483870971,0.0
2009-06-30,907.57575,2057022.5,0.2063333333333333,919.3200073242188
2009-07-31,909.5595999999999,2022073.2,0.1558064516129032,987.47998046875
2009-08-31,910.7742499999999,2034911.25,0.16032258064516125,1020.6199951171875
2009-09-30,912.9694,2122220.0,0.14666666666666667,1057.0799560546875
2009-10-31,915.31675,2173382.25,0.11806451612903225,0.0
2009-11-30,918.2415,2178795.5,0.119,1095.6300048828125
2009-12-31,924.3148000000001,2219218.0,0.11806451612903227,1115.0999755859375
2010-01-31,921.23475,2256424.0,0.11000000000000003,0.0
2010-02-28,927.20975,2267424.75,0.12642857142857145,0.0
2010-03-31,932.5352,2298183.4,0.16451612903225812,1169.4300537109375
2010-04-30,935.0540000000001,2328737.0,0.1983333333333334,1186.68994140625
2010-05-31,937.47425,2336799.5,0.2006451612903227,0.0
2010-06-30,941.3626,2337481.8,0.1766666666666667,1030.7099609375
2010-07-31,944.76475,2332588.5,0.18258064516129036,0.0
2010-08-31,946.0875,2317172.25,0.18935483870967754,1049.3299560546875
