DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
7/31/2003,694.26,741656.20,1.01,990.31
8/31/2003,694.70,740216.50,1.03,1008.01
9/30/2003,697.70,743206.75,1.01,995.97
10/31/2003,700.71,747068.40,1.01,1050.71
11/30/2003,706.31,747801.25,1.00,1058.20
12/31/2003,716.19,759809.60,0.98,1111.92
1/31/2004,713.75,759938.25,1.00,1131.13
2/29/2004,713.25,753644.25,1.01,1144.94
3/31/2004,713.92,755538.00,1.00,1126.21
4/30/2004,716.78,762182.00,1.00,1107.30
5/31/2004,719.68,762913.75,1.00,1120.68
6/30/2004,726.44,770590.00,1.03,1140.84
7/31/2004,734.83,776094.75,1.26,1101.72
8/31/2004,734.62,771095.50,1.43,1104.24
9/30/2004,738.15,786291.40,1.60,1114.58
10/31/2004,740.82,788387.50,1.76,1130.20
11/30/2004,746.58,798767.75,1.93,1173.82
12/31/2004,753.40,808972.60,2.16,1211.92
1/31/2005,750.20,807094.75,2.28,1181.27
2/28/2005,750.39,800556.75,2.50,1203.60
3/31/2005,752.08,802471.60,2.63,1180.59
4/30/2005,753.66,803656.00,2.78,1156.85
5/31/2005,754.18,805624.00,3.00,1191.50
6/30/2005,760.00,812643.20,3.04,1191.33
7/31/2005,763.85,815370.00,3.26,1234.18
8/31/2005,763.35,815141.80,3.50,1220.33
9/30/2005,767.94,820696.75,3.62,1228.81
10/31/2005,768.81,819207.25,3.78,1207.01
11/30/2005,774.62,826201.60,4.00,1249.48
12/31/2005,783.34,840054.25,4.16,1248.29
1/31/2006,786.82,836539.00,4.29,1280.08
2/28/2006,785.38,833804.00,4.49,1280.66
3/31/2006,788.92,838655.60,4.59,1294.87
4/30/2006,790.54,838093.75,4.79,1310.61
5/31/2006,794.31,842451.20,4.94,1270.09
6/30/2006,794.30,846038.00,4.99,1270.20
7/31/2006,795.92,846874.00,5.24,1276.66
8/31/2006,793.60,844411.40,5.25,1303.82
9/30/2006,794.47,844410.75,5.25,1335.85
10/31/2006,794.14,849620.75,5.25,1377.94
11/30/2006,800.54,858302.80,5.25,1400.63
12/31/2006,809.33,862756.75,5.24,1418.30
1/31/2007,808.85,861258.60,5.25,1438.24
2/28/2007,805.36,867225.00,5.26,1406.82
3/31/2007,806.34,868370.75,5.26,1420.86
4/30/2007,807.56,867195.25,5.25,1482.37
5/31/2007,809.50,875321.40,5.25,1530.62
6/30/2007,811.08,867222.25,5.25,1503.35
7/31/2007,814.65,870706.00,5.26,1455.27
8/31/2007,811.73,867258.60,5.02,1473.99
9/30/2007,811.90,878775.50,4.94,1526.75
10/31/2007,813.66,877940.60,4.76,1549.38
11/30/2007,819.86,886426.50,4.49,1481.14
12/31/2007,820.29,885789.75,4.24,1468.36
1/31/2008,817.37,894807.80,3.94,1378.55
2/29/2008,814.43,881700.25,2.98,1330.63
3/31/2008,816.64,890096.00,2.61,1322.70
4/30/2008,813.94,886510.60,2.28,1385.59
5/31/2008,817.69,892986.00,1.98,1400.38
6/30/2008,822.83,895391.50,2.00,1280.00
7/31/2008,829.95,905993.40,2.01,1267.38
8/31/2008,830.51,906233.75,2.00,1282.83
9/30/2008,833.94,1009474.00,1.81,1166.36
10/31/2008,849.12,1727614.60,0.97,968.75
11/30/2008,864.07,2145077.75,0.39,896.24
12/31/2008,877.88,2222737.40,0.16,903.25
1/31/2009,886.18,2033836.75,0.15,825.88
2/28/2009,894.16,1881628.50,0.22,735.09
3/31/2009,900.75,1984832.25,0.18,797.87
4/30/2009,903.41,2123506.20,0.15,872.81
5/31/2009,905.51,2134464.00,0.18,919.14
6/30/2009,907.58,2057022.50,0.21,919.32
7/31/2009,909.56,2022073.20,0.16,987.48
8/31/2009,910.77,2034911.25,0.16,1020.62
9/30/2009,912.97,2122220.00,0.15,1057.08
10/31/2009,915.32,2173382.25,0.12,1036.19
11/30/2009,918.24,2178795.50,0.12,1095.63
12/31/2009,924.31,2219218.00,0.12,1115.10
1/31/2010,921.23,2256424.00,0.11,1073.87
2/28/2010,927.21,2267424.75,0.13,1104.49
3/31/2010,932.54,2298183.40,0.16,1169.43
4/30/2010,935.05,2328737.00,0.20,1186.69
5/31/2010,937.47,2336799.50,0.20,1089.41
6/30/2010,941.36,2337481.80,0.18,1030.71
7/31/2010,944.76,2332588.50,0.18,1101.60
8/31/2010,946.09,2317172.25,0.19,1049.33
9/30/2010,951.33,2301947.80,0.19,1141.20
10/31/2010,960.37,2304649.00,0.19,1183.26
11/30/2010,970.89,2318469.75,0.19,1180.55
12/31/2010,979.39,2392691.80,0.18,1257.64
1/31/2011,978.91,2443221.50,0.17,1286.12
2/28/2011,987.09,2502997.25,0.16,1327.22
3/31/2011,1000.69,2585821.00,0.14,1325.83
4/30/2011,1009.37,2672712.75,0.10,1363.61
5/31/2011,1016.66,2749065.00,0.09,1345.20
6/30/2011,1023.53,2829826.40,0.09,1320.64
7/31/2011,1029.57,2870763.50,0.07,1292.28
8/31/2011,1033.04,2862173.00,0.10,1218.89
9/30/2011,1038.74,2857717.00,0.08,1131.42
10/31/2011,1042.13,2854649.50,0.07,1253.30
11/30/2011,1055.23,2825922.20,0.08,1246.96
12/31/2011,1066.41,2891339.75,0.07,1257.60
1/31/2012,1069.69,2913951.50,0.08,1312.41
2/29/2012,1080.20,2929930.00,0.10,1365.68
3/31/2012,1095.17,2887272.50,0.13,1408.47
4/30/2012,1099.98,2868677.25,0.14,1397.91
5/31/2012,1103.67,2856312.60,0.16,1310.33
6/30/2012,1108.55,2863870.50,0.16,1362.16
7/31/2012,1113.76,2858675.25,0.16,1379.32
8/31/2012,1115.87,2835816.60,0.13,1406.58
9/30/2012,1126.39,2817912.00,0.14,1440.67
10/31/2012,1134.62,2826231.20,0.16,1412.16
11/30/2012,1149.02,2857639.50,0.16,1416.18
12/31/2012,1156.70,2901149.50,0.16,1426.19
1/31/2013,1160.08,2966026.00,0.14,1498.11
2/28/2013,1164.58,3068737.50,0.15,1514.68
3/31/2013,1174.35,3170836.25,0.14,1569.19
4/30/2013,1178.42,3264238.00,0.14,1597.57
5/31/2013,1185.03,3355983.80,0.11,1630.74
6/30/2013,1189.69,3440056.75,0.09,1606.28
7/31/2013,1196.58,3536213.80,0.09,1685.73
8/31/2013,1198.80,3630451.50,0.08,1632.97
9/30/2013,1206.33,3693106.75,0.08,1681.55
10/31/2013,1213.42,3800415.60,0.09,1756.54
11/30/2013,1220.84,3897885.75,0.08,1805.81
12/31/2013,1230.29,3991804.50,0.09,1848.36
1/31/2014,1231.63,4064681.00,0.07,1782.59
2/28/2014,1237.53,4134488.75,0.07,1859.45
3/31/2014,1261.59,4200543.75,0.08,1872.34
4/30/2014,1270.13,4271396.80,0.09,1883.95
5/31/2014,1275.95,4322501.50,0.09,1923.57
6/30/2014,1279.38,4352084.25,0.10,1960.23
7/31/2014,1284.83,4395203.20,0.09,1930.67
8/31/2014,1287.50,4417173.50,0.09,2003.37
9/30/2014,1290.77,4436408.25,0.09,1972.29
10/31/2014,1294.04,4469678.60,0.09,2018.05
11/30/2014,1309.49,4488542.50,0.09,2067.56
12/31/2014,1326.70,4496884.80,0.12,2058.90
1/31/2015,1333.45,4507150.25,0.11,1994.99
2/28/2015,1341.26,4496402.25,0.11,2104.50
3/31/2015,1354.76,4488338.25,0.11,2067.89
4/30/2015,1359.93,4482355.60,0.12,2085.51
5/31/2015,1364.57,4479564.00,0.12,2107.39
6/30/2015,1366.16,4479059.25,0.13,2063.11
7/31/2015,1369.78,4488001.40,0.13,2103.84
8/31/2015,1375.05,4484473.00,0.14,1972.18
9/30/2015,1383.87,4484700.60,0.14,1920.03
10/31/2015,1391.43,4495400.00,0.12,2079.36
11/30/2015,1402.99,4486380.75,0.12,2080.41
12/31/2015,1415.04,4486241.60,0.24,2043.94
1/31/2016,1417.33,4489872.50,0.34,1940.24
2/29/2016,1420.98,4485799.50,0.38,1932.23
3/31/2016,1436.88,4484319.60,0.36,2059.74
4/30/2016,1444.64,4487148.50,0.37,2065.30
5/31/2016,1451.00,4472633.25,0.37,2096.95
6/30/2016,1457.51,4469248.60,0.38,2098.86
7/31/2016,1463.68,4472069.50,0.39,"2173.60	"
8/31/2016,1464.34,4466789.00,0.40,2170.95
9/30/2016,1470.25,4466515.75,0.40,2168.27
10/31/2016,1475.81,4459703.25,0.40,2126.15
11/30/2016,1488.54,4454779.20,0.41,2198.81
12/31/2016,1499.35,4460032.75,0.54,2238.83
1/31/2017,1504.58,4454801.50,0.65,2278.87
2/28/2017,1504.65,4458373.75,0.66,2363.64
3/31/2017,1527.12,4467057.80,0.79,2362.72
4/30/2017,1539.47,4477134.50,0.90,2384.20
5/31/2017,1548.16,4468515.80,0.91,2411.80
6/30/2017,1555.21,4469079.00,1.04,2423.41
7/31/2017,1562.59,4469040.25,1.15,2470.30
8/31/2017,1565.29,4462999.40,1.16,2471.65
9/30/2017,1578.30,4459721.25,1.15,2519.36
10/31/2017,1583.26,4462669.25,1.15,2575.26
11/30/2017,1592.13,4450387.00,1.16,2647.58
12/31/2017,1604.54,4446506.00,1.30,2673.61
1/31/2018,1611.34,4437893.40,1.41,2823.81
2/28/2018,1616.28,4415167.25,1.42,2713.83
3/31/2018,1633.04,4399193.75,1.51,2640.87
4/30/2018,1639.95,4382144.25,1.69,2648.05
5/31/2018,1650.88,4343353.00,1.70,2705.27
6/30/2018,1661.27,4316371.00,1.82,2718.37
7/31/2018,1669.06,4287565.25,1.91,2816.29
8/31/2018,1671.61,4238067.80,1.91,2901.52
9/30/2018,1685.51,4205069.00,1.95,2913.98
10/31/2018,1690.13,4167971.40,2.19,2711.74
11/30/2018,1701.60,4122799.00,2.20,2760.17
12/31/2018,1706.89,4083567.00,2.27,2506.85
1/31/2019,1709.73,4050343.00,2.40,2704.10
2/28/2019,1707.78,4002697.75,2.40,2784.49
3/31/2019,1719.26,3964764.50,2.41,2834.40
4/30/2019,1726.41,3933098.25,2.42,2945.83
5/31/2019,1732.23,3871707.00,2.39,2752.06
6/30/2019,1737.76,3842108.25,2.38,2941.76
7/31/2019,1746.90,3803776.80,2.40,2980.38
8/31/2019,1749.12,3773093.25,2.13,2926.46
9/30/2019,1762.66,3808397.75,2.04,2976.46
10/31/2019,1769.48,3970156.00,1.83,3037.56
11/30/2019,1785.60,4042612.25,1.55,3140.98
12/31/2019,1794.26,4115957.50,1.55,3230.78
1/31/2020,1798.98,4159312.40,1.55,3225.52
2/29/2020,1795.98,4169900.75,1.58,2954.22
3/31/2020,1826.08,4618977.00,0.65,2584.59
4/30/2020,1887.38,6298340.00,0.05,2912.43
5/31/2020,1929.73,6947555.25,0.05,3044.31
6/30/2020,1955.37,7127786.25,0.08,3100.29
7/31/2020,1978.27,6960429.40,0.09,3271.12
8/31/2020,2004.52,6975892.25,0.10,3500.31
9/30/2020,2026.25,7048374.20,0.09,3363.00
10/31/2020,2040.20,7137411.50,0.09,3269.96
11/30/2020,2055.63,7198114.00,0.09,3621.63
12/31/2020,2070.53,7319010.80,0.09,3756.07
1/31/2021,2093.53,7372161.25,0.09,3714.24
2/28/2021,2100.22,7500084.00,0.08,3811.15
3/31/2021,2115.28,7647908.20,0.07,3972.89
4/30/2021,2154.82,7775974.00,0.07,4181.17
5/31/2021,2167.93,7866893.25,0.06,4204.11
6/30/2021,2178.84,8026555.20,0.08,4297.50
7/31/2021,2186.13,8190356.75,0.10,4395.26
8/31/2021,2187.63,8291893.25,0.09,4522.68
9/30/2021,2194.90,8418612.40,0.08,4307.54
10/31/2021,2202.51,8516524.50,0.08,4605.38
11/30/2021,2210.16,8637652.67,0.08,4687.84
