DATE,Base: Total ($ Mil),Adj Close
8/31/2015,3984000,0.874419987
9/30/2015,4028500,0.624580026
10/31/2015,4060500,0.624580026
11/30/2015,4006700,0.874419987
12/31/2015,3835800,0.874419987
1/31/2016,3792700,0.874419987
2/29/2016,3872500,0.874419987
3/31/2016,3898400,0.874419987
4/30/2016,3872900,0.874419987
5/31/2016,3836500,0.874419987
6/30/2016,3825500,0.874419987
7/31/2016,3772500,0.624580026
8/31/2016,3816700,0.624580026
9/30/2016,3735900,0.624580026
10/31/2016,3572100,0.624580026
11/30/2016,3629800,0.624580026
12/31/2016,3531600,0.624580026
1/31/2017,3595500,0.624580026
2/28/2017,3746400,0.624580026
3/31/2017,3856300,0.624580026
4/30/2017,3821700,0.499669999
5/31/2017,3774400,0.624580026
6/30/2017,3762800,0.624580026
7/31/2017,3795400,0.624580026
8/31/2017,3910000,0.624580026
9/30/2017,3874500,0.624580026
10/31/2017,3829900,0.624580026
11/30/2017,3907700,0.624580026
12/31/2017,3851000,0.624580026
1/31/2018,3824800,0.624580026
2/28/2018,3855100,0.624580026
3/31/2018,3800600,0.624580026
4/30/2018,3727100,0.624580026
5/31/2018,3674800,0.624580026
6/30/2018,3650500,0.624580026
7/31/2018,3618300,0.624580026
8/31/2018,3584500,0.624580026
9/30/2018,3559800,0.749499977
10/31/2018,3520900,0.749499977
11/30/2018,3476300,0.999339998
12/31/2018,3400700,0.999339998
1/31/2019,3346900,
2/28/2019,3353500,
3/31/2019,3381500,
4/30/2019,3286700,
5/31/2019,3244500,
6/30/2019,3274800,
7/31/2019,3260300,
8/31/2019,3271400,
9/30/2019,3202700,
10/31/2019,3252800,
11/30/2019,3315600,
12/31/2019,3426500,
1/31/2020,3442600,
2/29/2020,3454500,
3/31/2020,3883100,
4/30/2020,4844900,
5/31/2020,5149400,
6/30/2020,5001800,
7/31/2020,4700300,
8/31/2020,4807400,
9/30/2020,4880300,
10/31/2020,4917100,
11/30/2020,5093000,
12/31/2020,5206500,
1/31/2021,5248000,
2/28/2021,5446800,
3/31/2021,5839000,
4/30/2021,6042100,
5/31/2021,6041900,
6/30/2021,6027100,
7/31/2021,6130300,
8/31/2021,6328800,
